min_support,min_confidence,min_lift,TopK,RulesAvailable,RulesSelected,AvgLift,AvgConfidence,AvgSupport,ActivationProxyMean,RuleQualityScore
0.01,0.3,1,50,1794,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.3,1,100,1794,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.3,1,150,1794,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.3,1,200,1794,200,42.185252374812954,0.7296587542188138,0.011647522335053548,0.016991565395926972,30.780838694212274
0.01,0.3,1,250,1794,250,37.486088160954246,0.7109620059074859,0.011809999445091836,0.01764341601464958,26.65118443253689
0.01,0.3,1,300,1794,300,34.155449268965796,0.6990828797854753,0.012004698222444186,0.018169542940643324,23.877489835315316
0.01,0.3,1,400,1794,400,29.697415434686437,0.6825835805656275,0.012353226790966097,0.019211475500804615,20.2709681609532
0.01,0.3,1,500,1794,500,26.707446091341705,0.6679571064809343,0.01268753121358415,0.02021064313856057,17.839428412668145
0.01,0.3,2,50,1794,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.3,2,100,1794,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.3,2,150,1794,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.3,2,200,1794,200,42.185252374812954,0.7296587542188138,0.011647522335053548,0.016991565395926972,30.780838694212274
0.01,0.3,2,250,1794,250,37.486088160954246,0.7109620059074859,0.011809999445091836,0.01764341601464958,26.65118443253689
0.01,0.3,2,300,1794,300,34.155449268965796,0.6990828797854753,0.012004698222444186,0.018169542940643324,23.877489835315316
0.01,0.3,2,400,1794,400,29.697415434686437,0.6825835805656275,0.012353226790966097,0.019211475500804615,20.2709681609532
0.01,0.3,2,500,1794,500,26.707446091341705,0.6679571064809343,0.01268753121358415,0.02021064313856057,17.839428412668145
0.01,0.3,3,50,1773,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.3,3,100,1773,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.3,3,150,1773,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.3,3,200,1773,200,42.185252374812954,0.7296587542188138,0.011647522335053548,0.016991565395926972,30.780838694212274
0.01,0.3,3,250,1773,250,37.486088160954246,0.7109620059074859,0.011809999445091836,0.01764341601464958,26.65118443253689
